url,num_of_posts,posts_to_not_include,start_date,end_date,what_to_collect,post_type
https://www.tiktok.com/@yuj_224,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@wnsgml9054,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@okdick,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@sukidayo.7,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@johan_05_7,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user703568430,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user4967362508153,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user80331582783832,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@kao111314,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user483764106,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@hqy3030ysq,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@ffssnsndjdndddddaa,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user59996678237792,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@dystr1ofn8pr,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user757377073494,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user2556747435957,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@lsy687,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@bulmax52gg,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@iksm1,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@jinn_antonio,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@echbua,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@lin11o2lin,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@phatthanaphon09,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@cvhop3,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@mickeymickey_mo_line,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@andylee.angelhunter,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@user6553818052141,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@behknquxcfilorvy0,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@onlyou05.24love,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@suwjnznx,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@yinhaoyangyin,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@khg57484,1,,02-01-2025,03-21-2025,Posts,
https://www.tiktok.com/@haellwwg95m,1,,02-01-2025,03-21-2025,Posts,
